Unnamed: 0,Trek,Cost,Time,Trip Grade,Max Altitude,Accomodation,Best Travel Time,Date of Travel,Sex,Age,Employment Type,GraduateOrNot,AnnualIncome,FrequentFlyer,Year,Regional code,Country,Fitness Level,Weather Conditions,Trekking Group Size,Guide/No Guide,Equipment Used,Purpose of Travel,Health Incidents,Review/Satisfaction
94,Annapurna Circuit Trek,"
$1,250    USD", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,1/8/2020,Male,34,Private Sector/Self Employed,Yes,1300000,No,2017,4100,South Korea,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
95,Annapurna Circuit Short Trek,"
$1,250    USD", 12 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,12/23/2020,Female,26,Private Sector/Self Employed,Yes,1400000,No,2017,4140,Kuwait,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
96,Annapurna Luxury Trek,"
$1,450    USD", 9 Days,Easy To Moderate,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,8/20/2020,Male,28,Private Sector/Self Employed,Yes,700000,No,2017,4170,Kyrgyzstan,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
97,Annapurna Panorama Trek,"
$860    USD", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,3/27/2022,Male,29,Private Sector/Self Employed,Yes,350000,No,2017,4180,Laos,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
98,Annapurna Tilicho Lake Trek,"
$1,450    USD", 17 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,3/24/2022,Male,29,Private Sector/Self Employed,Yes,1100000,No,2017,4220,Lebanon,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
99,Short Annapurna Trek,"
$590    USD", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,7/15/2020,Female,29,Government Sector,Yes,600000,No,2017,4260,Lesot,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
100,Manaslu Circuit Trek,"
$1,450    USD", 15 Days,Strenuous,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,9/7/2021,Male,28,Private Sector/Self Employed,Yes,1300000,No,2017,4280,Latvia,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
101,Manaslu Circuit Trekking,"
$1,380    USD", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,8/18/2021,Non-Binary,33,Private Sector/Self Employed,Yes,1500000,Yes,2017,4300,Liberia,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
102,Tsum Valley with Manaslu Trek,"
$1,850    USD", 20 Days,Strenuous,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,6/10/2023,Male,29,Private Sector/Self Employed,Yes,500000,No,2017,4340,Libya,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
103,Upper Mustang Trek,"
$2,150    USD", 17 Days,Easy To Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,4/19/2023,Non-Binary,26,Private Sector/Self Employed,Yes,1400000,No,2017,4380,Liechtenstein,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
104,Upper Mustang Trek with Yara,"
$2,300    USD", 18 Days,Easy To Moderate,4200 m,Hotel/Lodges,March - Nov,2/29/2020,Female,28,Private Sector/Self Employed,Yes,1150000,No,2017,4400,Lithuania,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
105,Upper Mustang Tiji Festival Trek,"
$2,150    USD", 18 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,2/20/2020,Non-Binary,28,Private Sector/Self Employed,Yes,750000,No,2017,4420,Luxembourg,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
106,Langtang Valley Trek,"
$750    USD", 10 Days,Easy To Moderate,5050 m,Hotel/Teahouse,March-May & Sept-Dec,1/4/2022,Male,34,Private Sector/Self Employed,Yes,1300000,No,2017,4460,Macau,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
107,Langtang Gosaikunda Trek,"
$1,180    USD", 16 Days,Easy To Moderate,4600m,Hotel/Guesthouse,March - May & Sept - Dec,7/7/2021,Male,34,Private Sector/Self Employed,Yes,850000,No,2017,4461,Macau travel certificate,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
108,Tamang Heritage Trek,"
$920    USD", 14 Days,Easy To Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,1/29/2023,Transgender,26,Private Sector/Self Employed,Yes,1300000,No,2017,4500,Madagascar,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
109,Tamang Heritage Trail,"
$750    USD", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,8/17/2020,Transgender,25,Private Sector/Self Employed,Yes,1700000,Yes,2017,4540,Malawi,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
110,Helambu Trek,"
$780    USD", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,6/10/2022,Male,31,Government Sector,Yes,400000,No,2017,4580,Malaysia,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
111,Annapurna Base Camp Trek  ," $1,499    USD", 11 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/9/2021,Female,28,Private Sector/Self Employed,Yes,800000,No,2017,4620,Maldives,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
112,Everest Base Camp Trek for Youths  ," $1,750    USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/7/2023,Female,30,Private Sector/Self Employed,No,800000,No,2017,4660,Mari,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
113,Everest Base Camp Short Trek  ," $1,499    USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/5/2023,Non-Binary,29,Private Sector/Self Employed,Yes,900000,Yes,2017,4700,Malta,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
114,Everest Base Camp Trek  ," $1,499    USD", 16 Days,Moderate+Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/22/2020,Male,29,Private Sector/Self Employed,Yes,500000,No,2017,4780,Mauritania,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
115,Annapurna Circuit Trek  ," $1,499    USD", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/10/2022,Male,29,Private Sector/Self Employed,Yes,900000,No,2017,4800,Mauritius,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
116,Everest Base Camp Luxury Lodge Trek  ," $1,499    USD", 15 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/3/2020,Male,28,Private Sector/Self Employed,Yes,1150000,No,2017,4840,Mexico,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
117,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass  ," $1,499    USD", 18 days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/17/2020,Female,31,Government Sector,Yes,400000,No,2017,4920,Monaco,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
118,Upper Mustang Trek  ," $1,499    USD", 17 Days,Moderate+Demanding,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/22/2022,Non-Binary,31,Government Sector,Yes,1500000,Yes,2017,4960,Mongolia,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
119,Everest Advanced Base Camp Trek from Tibet  ," $1,499    USD", 18 Days,Moderate+Demanding,"6,340m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/28/2022,Transgender,31,Private Sector/Self Employed,Yes,500000,No,2017,4980,Moldoba,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
120,Gokyo Lakes and Gokyo Ri Trek  ," $1,499    USD", 14 Days,Moderate+Demanding,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/19/2022,Non-Binary,28,Private Sector/Self Employed,Yes,800000,No,2017,4990,Montenegro,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
121,Mardi Himal Trek  ," $1,499    USD", 10 Days,Moderate,"3,540m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/10/2022,Transgender,26,Private Sector/Self Employed,Yes,1400000,No,2017,5040,Morocco,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
122,Manaslu Circuit Trek  ," $1,499    USD", 18 Days,Demanding,"5,160m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/28/2020,Transgender,32,Government Sector,Yes,800000,No,2017,5080,Mozambique,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
123,Langtang Valley Trek  ," $1,499    USD", 11 Days,Moderate+Demanding,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/16/2021,Transgender,27,Government Sector,Yes,850000,No,2017,5120,Oman,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
124,Annapurna Sanctuary Trek  ," $1,499    USD", 14 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/27/2023,Transgender,32,Government Sector,Yes,350000,No,2017,5160,Namibia,,,,,,,,
125,Rara Lake Trek  ," $1,499    USD", 15 Days,Moderate,"3,055m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/21/2022,Non-Binary,29,Private Sector/Self Employed,Yes,500000,No,2017,5200,Naure,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
126,Everest High Passes Trek  ," $1,499    USD", 20 Days,Demanding,"5,546m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/29/2022,Female,32,Government Sector,Yes,800000,Yes,2017,5240,Nepal,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
127,Kanchenjunga Circuit Trek  ," $1,499    USD", 25 Days,Demanding,"5,143m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/1/2020,Non-Binary,27,Government Sector,Yes,750000,No,2017,5280,Netherlands,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
128,Everest View Trek  ," $1,499    USD", 12 Days,Light+Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/2/2021,Transgender,31,Private Sector/Self Employed,Yes,1350000,No,2017,5480,Vanuatsu,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
129,Tsum Valley Trek  ," $1,499    USD", 19 Days,Demanding,"6,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/28/2021,Female,29,Private Sector/Self Employed,Yes,1050000,No,2017,5540,new zealand,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
130,The Royal Trek  ," $1,499    USD", 9 Days,Moderate,"1,730m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/29/2021,Transgender,28,Private Sector/Self Employed,Yes,800000,No,2017,5580,Nicaragua,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
131,Makalu Base Camp Trek  ," $1,499    USD", 22 Days,Demanding+Challenging,"4,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/14/2020,Transgender,28,Private Sector/Self Employed,Yes,750000,No,2017,5620,Nigail,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
132,"Langtang, Gosainkunda and Helambu Trek  "," $1,499    USD", 17 Days,Moderate,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/9/2020,Female,28,Private Sector/Self Employed,Yes,1100000,No,2017,5660,Nigeria,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
133,Nar Phu Valley Trek  ," $1,499    USD", 19 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/10/2021,Transgender,25,Private Sector/Self Employed,Yes,1750000,No,2017,5780,Norway,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
134,Annapurna Circle Trek  ," $1,499    USD", 14 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/23/2022,Female,28,Private Sector/Self Employed,Yes,600000,Yes,2017,5830,Micronesia,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
135,Everest Kangshung Face Trek  ," $1,499    USD", 21 Days,Demanding+Challenging,"5,320m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/28/2022,Transgender,28,Private Sector/Self Employed,Yes,800000,No,2017,5840,Marshall,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
136,Tsum Valley and Manaslu Trek  ," $1,499    USD", 27 Days,Demanding,"4,460m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/8/2020,Non-Binary,29,Private Sector/Self Employed,Yes,500000,No,2017,5850,Palao,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
137,Khopra Ridge Community Trek  ," $1,499    USD", 13 Days,Moderate+Demanding,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/16/2023,Transgender,29,Private Sector/Self Employed,Yes,600000,Yes,2017,5860,Pakistan,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
138,Nepal Experience Tour  ," $1,499    USD", 12 Days,Light,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/4/2022,Transgender,28,Private Sector/Self Employed,Yes,1150000,No,2017,5910,Panama,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
139,Annapurna Circuit Trek with Tilicho Lake and Poon Hill  ," $1,499    USD", 20 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/14/2022,Non-Binary,35,Private Sector/Self Employed,No,800000,No,2017,5980,Papua New Guinea,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
140,Annapurna With Tilicho Lake Trek  ," $1,499    USD", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/24/2023,Transgender,28,Private Sector/Self Employed,Yes,550000,No,2017,6000,Paraguay,,,,,,,,
141,Langtang Valley Trek with Ganja la Pass  ," $1,499    USD", 14 Days,Demanding+Challenging,"5,122m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/8/2023,Transgender,25,Private Sector/Self Employed,Yes,1400000,No,2017,6040,Peru,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
142,Tamang Heritage Trek  ," $1,499    USD", 14 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/26/2022,Female,32,Government Sector,Yes,350000,No,2017,6080,Philippines,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
143,Manaslu and Annapurna Trek with Tilicho Lake  ," $1,499    USD", 25 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/17/2020,Non-Binary,26,Private Sector/Self Employed,Yes,1300000,No,2017,6160,Poland,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
144,Nepal Trekking and Everest Himalaya Heli Tour  ," $1,499    USD", 7 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/20/2020,Male,31,Private Sector/Self Employed,Yes,1250000,No,2017,6200,Portugal,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
145,Nepal Hiking and Culture Tour  ," $1,499    USD", 8 Days,Moderate,"1,550m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/17/2021,Transgender,28,Private Sector/Self Employed,Yes,1150000,No,2017,6240,Guinea Visau,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
146,Annapurna Sunrise and Everest View Trek  ," $1,499    USD", 17 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/30/2022,Male,30,Private Sector/Self Employed,No,750000,No,2017,6260,East Timor Democratic Republic,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
147,Tenzing Hillary Everest Marathon  ," $1,499    USD", 20 Days,Demanding+Challenging,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/17/2020,Transgender,31,Government Sector,No,400000,No,2017,6340,Qatar,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
148,Everest Base Camp Trek,$1450    USD,16 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/31/2023,Non-Binary,25,Private Sector/Self Employed,Yes,1400000,No,2017,6420,Romania,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
149,Everest Kalapathar Trekking,$1390    USD,15 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/14/2021,Non-Binary,28,Private Sector/Self Employed,Yes,800000,No,2017,6430,Russia,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
150,Everest Panorama Trek,$1040    USD,10 Days,Easy-Moderate,"3,860m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/3/2022,Transgender,28,Private Sector/Self Employed,Yes,650000,No,2017,6460,Rwanda,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
151,Everest Base Camp Trek via Gokyo Lake,$1530    USD,19 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/27/2022,Non-Binary,29,Private Sector/Self Employed,Yes,1200000,No,2017,6590,St. Christopher Navis,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
152,Gokyo Lake Trek,$1190    USD,13 Days,Moderate,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/7/2021,Male,28,Private Sector/Self Employed,Yes,1200000,Yes,2017,6620,St. Lucia,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
153,Everest Base Camp Heli Trek,$3600    USD,9 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/28/2021,Female,25,Private Sector/Self Employed,No,600000,Yes,2017,6700,St. Vincent,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
154,Annapurna Circuit Trek,$1100    USD,19 Days,Moderate-Hard,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/7/2022,Female,28,Private Sector/Self Employed,Yes,700000,Yes,2017,6740,Sun Marino,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
155,Annapurna Base Camp Trek,$1090    USD,16 Days,Moderate,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/19/2021,Transgender,34,Private Sector/Self Employed,Yes,1300000,No,2017,6780,Santa Principa,,,,,,,,
156,Ghorepani Poon Hill Trek,$450    USD,10 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/22/2021,Female,28,Private Sector/Self Employed,Yes,900000,Yes,2017,6820,Saudi Arabia,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
157,Upper Mustang Trek,$2100    USD,17 Days,Moderate-Hard,4200m,Hotel/Guesthouse,Jan - May & Sept - Dec,10/14/2022,Male,28,Private Sector/Self Employed,Yes,600000,No,2017,6860,Senegal,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
158,Mardi Himal Trek,$590    USD,9 Days,Easy-Moderate,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/6/2022,Female,31,Private Sector/Self Employed,Yes,1250000,Yes,2017,6880,Serbia,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
159,Langtang Valley Trekking,$690    USD,11 Days,Moderate,"4,773m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/5/2022,Male,27,Government Sector,Yes,900000,No,2017,6900,Saechel,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
160,Manaslu Circuit Trek,$1190    USD,17 Days,Moderate-Hard,"5,220m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/24/2022,Female,31,Government Sector,Yes,1200000,No,2017,6940,Sierra Leone,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
161,Annapurna Base Camp Trek,"
$1,090   USD", 14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,7/30/2023,Non-Binary,34,Private Sector/Self Employed,No,1400000,No,2017,7020,Singapore,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
162,Annapurna Base Camp Short Trek,"
$1,090   USD", 11 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,5/19/2023,Male,34,Private Sector/Self Employed,Yes,500000,No,2017,7030,Slovakia,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
163,Instant Annapurna Base Camp Trek,"
$980   USD", 9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,10/1/2022,Male,32,Government Sector,Yes,350000,No,2017,7040,Vietnam,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
164,Annapurna Base Camp Heli Trek,"
$1,750   USD", 9 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,5/27/2023,Transgender,28,Government Sector,Yes,300000,No,2017,7050,Slovenia,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
165,Mardi Himal Trek,"
$850   USD", 9 Days,Easy To Moderate,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,12/31/2021,Non-Binary,33,Government Sector,Yes,1000000,No,2017,7060,Somalia,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
166,Mardi Himal Trekking,"
$850   USD", 8 Days,Easy To Moderate,"4,200 m",Hotel/Guesthouse,March-May & Sept-Dec.,8/1/2023,Male,28,Private Sector/Self Employed,Yes,800000,No,2017,7100,Republic of South Africa,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
167,Classic Annapurna Circuit Trek,"
$1,350   USD", 18 Days,Moderate,5416 m,Hotel/Teahouses,March - May & Sept - Nov,11/18/2022,Female,31,Government Sector,Yes,400000,No,2017,7160,Zimbabwe,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
168,Annapurna Circuit Trek,"
$1,250   USD", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,8/18/2021,Transgender,27,Government Sector,Yes,850000,No,2017,7240,Spain,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
169,Annapurna Circuit Short Trek,"
$1,250   USD", 12 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,2/9/2022,Non-Binary,25,Private Sector/Self Employed,No,600000,No,2017,7280,South Sudan,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
170,Annapurna Luxury Trek,"
$1,450   USD", 9 Days,Easy To Moderate,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,3/26/2022,Transgender,31,Private Sector/Self Employed,Yes,1350000,No,2017,7290,Sudan,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
171,Annapurna Panorama Trek,"
$860   USD", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,9/19/2022,Transgender,28,Private Sector/Self Employed,Yes,900000,No,2017,7400,Slinum,,,,,,,,
172,Annapurna Tilicho Lake Trek,"
$1,450   USD", 17 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,2/8/2021,Male,27,Private Sector/Self Employed,No,600000,No,2017,7480,Swaji Land,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
173,Short Annapurna Trek,"
$590   USD", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,1/19/2022,Non-Binary,26,Private Sector/Self Employed,Yes,450000,No,2017,7520,Sweden,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
174,Manaslu Circuit Trek,"
$1,450   USD", 15 Days,Strenuous,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,8/17/2020,Transgender,34,Private Sector/Self Employed,Yes,700000,Yes,2017,7560,Switzerland,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
175,Manaslu Circuit Trekking,"
$1,380   USD", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,1/20/2023,Non-Binary,30,Private Sector/Self Employed,No,800000,No,2017,7600,Syria,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
176,Tsum Valley with Manaslu Trek,"
$1,850   USD", 20 Days,Strenuous,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,7/13/2023,Female,34,Private Sector/Self Employed,Yes,1050000,No,2017,7620,Tajikistan,,,,,,,,
177,Upper Mustang Trek,"
$2,150   USD", 17 Days,Easy To Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,5/10/2022,Female,28,Private Sector/Self Employed,Yes,1250000,No,2017,7640,Thailand,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
178,Upper Mustang Trek with Yara,"
$2,300   USD", 18 Days,Easy To Moderate,4200 m,Hotel/Lodges,March - Nov,9/12/2022,Male,32,Government Sector,Yes,350000,No,2017,7680,Togo,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
179,Upper Mustang Tiji Festival Trek,"
$2,150   USD", 18 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,3/5/2023,Female,26,Private Sector/Self Employed,Yes,1250000,No,2017,7760,Tonga,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
180,Langtang Valley Trek,"
$750   USD", 10 Days,Easy To Moderate,5050 m,Hotel/Teahouse,March-May & Sept-Dec,6/5/2021,Non-Binary,28,Private Sector/Self Employed,Yes,750000,Yes,2017,7800,Republic of Trinidad and Tobago,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
181,Langtang Gosaikunda Trek,"
$1,180   USD", 16 Days,Easy To Moderate,4600m,Hotel/Guesthouse,March - May & Sept - Dec,3/1/2023,Female,26,Private Sector/Self Employed,Yes,1300000,No,2017,7840,United Arab Emirates,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
182,Tamang Heritage Trek,"
$920   USD", 14 Days,Easy To Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,8/10/2022,Male,35,Private Sector/Self Employed,No,800000,Yes,2017,7880,Tunisia,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
183,Tamang Heritage Trail,"
$750   USD", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,11/30/2020,Transgender,25,Private Sector/Self Employed,No,1700000,Yes,2017,7920,Turkey,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
184,Helambu Trek,"
$780   USD", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,6/17/2023,Transgender,25,Government Sector,Yes,750000,No,2017,7950,Torque menistan,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
185,Annapurna Base Camp Trek  ," $1,499   USD", 11 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/15/2020,Transgender,28,Government Sector,Yes,300000,No,2017,7980,Tsubaru,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
186,Everest Base Camp Trek for Youths  ," $1,750   USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/9/2020,Male,28,Private Sector/Self Employed,Yes,500000,No,2017,8000,Uganda,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
187,Everest Base Camp Short Trek  ," $1,499   USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/24/2022,Non-Binary,28,Private Sector/Self Employed,Yes,650000,No,2017,8040,Ukraine,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
188,Everest Base Camp Trek  ," $1,499   USD", 16 Days,Moderate+Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/22/2021,Male,26,Government Sector,Yes,500000,No,2017,8070,Former Macedonia Yugoslavia Republic,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
